id_match,source,home_or_away,team_code,team_xG,team_odds,opponent_code,opponent_xG,opponent_odds,team_score,opponent_score,score_differential,match_attendance,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,target_top_4,month,day_of_week,year
2036312,Qualifiers,1,BIH,-3.0,70000,ISL,-3.0,70000,3,0,3,9234,44.2057944,17.9071889,105,68,0,3,3,2023
2039644,Qualifiers,1,BIH,-3.0,70000,UKR,-0.3,20062,1,2,-1,10992,44.2057944,17.9071889,105,68,0,3,3,2024
2036358,Qualifiers,0,BIH,-3.0,70000,POR,1.4,601,0,3,-3,55058,38.751488,-9.188022,105,68,0,6,5,2023
2036518,Qualifiers,1,BIH,-3.0,70000,SVK,-1.1,15850,1,2,-1,3800,44.2057944,17.9071889,105,68,0,11,6,2023
2034460,Nations,1,BIH,-3.0,70000,ROU,0.3,12509,1,0,1,4500,44.2057944,17.9071889,105,68,0,6,1,2022
2036495,Qualifiers,0,BIH,-3.0,70000,LUX,-3.0,70000,1,4,-3,8520,49.581375,6.121066,105,68,0,11,3,2023
2036403,Qualifiers,1,BIH,-3.0,70000,LIE,-3.0,70000,2,1,1,6189,44.2057944,17.9071889,105,68,0,9,4,2023
2040264,Friendlies,0,BIH,-3.0,70000,ITA,1.0,1971,0,1,-1,21425,43.7265111,10.9547472,105,66,0,6,6,2024
2034561,Nations,0,BIH,-3.0,70000,ROU,0.3,12509,1,4,-3,12693,44.455138,26.056977,105,68,0,9,0,2022
2036450,Qualifiers,0,BIH,-3.0,70000,LIE,-3.0,70000,2,0,2,5874,47.140081,9.510255,105,68,0,10,4,2023
2034491,Nations,0,BIH,-3.0,70000,MNE,-3.0,70000,1,1,0,6555,42.4455611,19.2643444,105,68,0,6,5,2022
2036334,Qualifiers,0,BIH,-3.0,70000,SVK,-1.1,15850,0,2,-2,6052,48.17758,17.154043,105,68,0,3,6,2023
2036468,Qualifiers,0,BLR,-3.0,70000,SUI,1.4,4995,3,3,0,17000,47.4070194,9.3041861,105,68,0,10,6,2023
2036516,Qualifiers,0,BLR,-3.0,70000,KOS,-3.0,70000,1,0,1,5026,42.66311,21.157107,105,68,0,11,1,2023
2036423,Qualifiers,0,BLR,-3.0,70000,ISR,-3.0,70000,0,1,-1,28435,32.0518111,34.7614806,105,68,0,9,1,2023
2036354,Qualifiers,1,BLR,-3.0,70000,ISR,-3.0,70000,1,2,-1,21425,47.5748972,19.0846167,105,68,0,6,4,2023
2036331,Qualifiers,0,BLR,-3.0,70000,ROU,0.3,12509,1,2,-1,27837,44.438192,26.151924,105,68,0,3,1,2023
2034483,Nations,1,BLR,-3.0,70000,KAZ,-3.0,70000,1,1,0,21425,45.2469083,19.8422944,105,68,0,6,4,2022
2040620,Friendlies,1,BLR,-3.0,70000,RUS,-3.0,70000,0,4,-4,21425,53.8952694,27.5598972,105,68,0,6,4,2024
2036491,Qualifiers,1,BLR,-3.0,70000,AND,-3.0,70000,1,0,1,21425,47.5748972,19.0846167,105,68,0,11,5,2023
2034503,Nations,0,BLR,-3.0,70000,AZE,-3.0,70000,0,2,-2,2330,40.481058,50.145446,105,68,0,6,0,2022
2034519,Nations,0,BLR,-3.0,70000,KAZ,-3.0,70000,1,2,-1,29637,51.1083,71.402631,105,68,0,9,3,2022
2040821,Friendlies,1,BLR,-3.0,70000,ISR,-3.0,70000,0,4,-4,21425,47.5748972,19.0846167,105,68,0,6,1,2024
2036378,Qualifiers,1,BLR,-3.0,70000,KOS,-3.0,70000,2,1,1,21425,47.5748972,19.0846167,105,68,0,6,0,2023
2034548,Nations,0,BLR,-3.0,70000,SVK,-1.1,15850,1,1,0,524,0.0,0.0,105,68,0,9,6,2022
2034427,Nations,1,BLR,-3.0,70000,SVK,-1.1,15850,0,1,-1,21425,45.2469083,19.8422944,105,68,0,6,4,2022
2040340,Friendlies,1,BLR,-3.0,70000,MNE,-3.0,70000,0,2,-2,21425,36.907465,30.8938561,105,68,0,3,3,2024
2036399,Qualifiers,0,BLR,-3.0,70000,AND,-3.0,70000,0,0,0,1026,42.504689,1.517462,105,67,0,9,5,2023
2036447,Qualifiers,1,BLR,-3.0,70000,ROU,0.3,12509,0,0,0,21425,47.5748972,19.0846167,105,68,0,10,3,2023
2039998,Friendlies,0,BLR,-3.0,70000,MLT,-3.0,70000,0,0,0,21425,35.89485,14.4151056,105,68,0,3,1,2024
2034456,Nations,1,BLR,-3.0,70000,AZE,-3.0,70000,0,0,0,21425,45.2469083,19.8422944,105,68,0,6,0,2022
2036307,Qualifiers,1,BLR,-3.0,70000,SUI,1.4,4995,0,5,-5,21425,45.2469083,19.8422944,105,68,0,3,5,2023
2040532,Friendlies,1,BOL,-3.0,70000,AND,-3.0,70000,1,0,1,21425,0.0,0.0,105,68,0,3,0,2024
2039988,Friendlies,0,BRA,-3.0,70000,ESP,-0.1,545,3,3,0,21425,40.4530778,-3.6885194,105,68,0,3,1,2024
2039813,Friendlies,0,BRA,-3.0,70000,ENG,0.3,451,1,0,1,21425,51.5558417,-0.2795972,105,68,0,3,5,2024
2038997,Friendlies,1,BUL,-3.0,70000,IRN,-3.0,70000,0,1,-1,13253,42.1399056,24.7643833,105,68,0,9,3,2023
2036325,Qualifiers,0,BUL,-3.0,70000,HUN,-1.5,40918,0,3,-3,53000,47.503111,19.098024,105,68,0,3,0,2023
2036372,Qualifiers,1,BUL,-3.0,70000,SRB,-0.3,15858,1,1,0,6700,43.534722,26.527222,105,68,0,6,1,2023
2036417,Qualifiers,0,BUL,-3.0,70000,MNE,-3.0,70000,1,2,-1,4232,42.4455611,19.2643444,105,68,0,9,6,2023
2036349,Qualifiers,0,BUL,-3.0,70000,LTU,-3.0,70000,1,1,0,14230,54.8973667,23.9371222,105,68,0,6,5,2023
2034419,Nations,1,BUL,-3.0,70000,MKD,-3.0,70000,1,1,0,8275,43.534722,26.527222,105,68,0,6,3,2022
2036486,Qualifiers,1,BUL,-3.0,70000,HUN,-1.5,40918,2,2,0,230,42.6876,23.335369,105,68,0,11,3,2023
2034535,Nations,1,BUL,-3.0,70000,GIB,-3.0,70000,5,1,4,1540,43.534722,26.527222,105,68,0,9,4,2022
2034440,Nations,1,BUL,-3.0,70000,GEO,-1.7,66820,2,5,-3,3600,43.534722,26.527222,105,68,0,6,6,2022
2036302,Qualifiers,1,BUL,-3.0,70000,MNE,-3.0,70000,0,1,-1,9180,43.534722,26.527222,105,68,0,3,4,2023
2039989,Friendlies,0,BUL,-3.0,70000,ROU,0.3,12509,0,0,0,21425,44.4128444,26.0404194,105,68,0,6,1,2024
2036440,Qualifiers,1,BUL,-3.0,70000,LTU,-3.0,70000,0,2,-2,6916,42.6876,23.335369,105,68,0,10,5,2023
2036510,Qualifiers,0,BUL,-3.0,70000,SRB,-0.3,15858,2,2,0,7325,42.991774,21.960613,105,68,0,11,6,2023
2034473,Nations,0,BUL,-3.0,70000,GIB,-3.0,70000,1,1,0,1427,36.149356,-5.350342,105,68,0,6,3,2022
2040011,Friendlies,0,BUL,-3.0,70000,SVN,-0.6,18358,1,1,0,21425,46.080641,14.52444,105,68,0,6,5,2024
