id_match,date,source,home_or_away,team_code,team_xG,team_odds,opponent_code,opponent_xG,opponent_odds,team_score,opponent_score,match_attendance,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,target_top_4
2034524,9/22/2022,Nations,0,AZE,-3,70000,SVK,-1.1,15850,2,1,2875,48.3738444,17.5916278,105,68,0
2040797,6/11/2024,Friendlies,1,AZE,-3,70000,KAZ,-3,70000,3,2,21425,47.2348111,16.6069583,105,68,0
2034475,6/10/2022,Nations,1,AZE,-3,70000,SVK,-1.1,15850,0,1,2967,40.481058,50.145446,105,68,0
2040327,3/22/2024,Friendlies,1,AZE,-3,70000,MGL,-3,70000,1,0,21425,40.3973806,49.8523917,105,68,0
2040329,3/25/2024,Friendlies,1,AZE,-3,70000,BUL,-3,70000,1,1,3220,40.3973806,49.8523917,105,68,0
2036392,9/9/2023,Qualifiers,1,AZE,-3,70000,BEL,1.1,2488,0,1,4500,40.481058,50.145446,105,68,0
2037559,9/12/2023,Friendlies,1,AZE,-3,70000,JOR,-3,70000,2,1,21425,40.481058,50.145446,105,68,0
2036323,3/27/2023,Qualifiers,0,AZE,-3,70000,SWE,-3,70000,0,5,23674,59.3725,18,105,68,0
2036461,10/16/2023,Qualifiers,1,AZE,-3,70000,AUT,-1.2,6048,0,1,4446,40.3973806,49.8523917,105,68,0
2034422,6/3/2022,Nations,0,AZE,-3,70000,KAZ,-3,70000,0,2,19823,51.1083,71.402631,105,68,0
2034550,9/25/2022,Nations,1,AZE,-3,70000,KAZ,-3,70000,3,0,2950,40.481058,50.145446,105,68,0
2036485,11/16/2023,Qualifiers,1,AZE,-3,70000,SWE,-3,70000,3,0,5570,40.3973806,49.8523917,105,68,0
2040796,6/7/2024,Friendlies,0,AZE,-3,70000,ALB,-2.2,48468,1,3,21425,47.2348111,16.6069583,105,68,0
2034456,6/6/2022,Nations,0,AZE,-3,70000,BLR,-3,70000,0,0,21425,45.2469083,19.8422944,105,68,0
2034503,6/13/2022,Nations,1,AZE,-3,70000,BLR,-3,70000,2,0,2330,40.481058,50.145446,105,68,0
2034479,6/11/2022,Nations,0,BEL,1.1,2488,WAL,-3,70000,1,1,27188,51.474537,-3.200818,105,68,0
2036392,9/9/2023,Qualifiers,0,BEL,1.1,2488,AZE,-3,70000,1,0,4500,40.481058,50.145446,105,68,0
2036438,10/13/2023,Qualifiers,0,BEL,1.1,2488,AUT,-1.2,6048,3,2,47000,48.2071889,16.4205083,105,68,0
2037513,3/28/2023,Friendlies,0,BEL,1.1,2488,GER,2.5,398,3,2,42910,50.9335056,6.8749944,105,68,0
2039022,11/15/2023,Friendlies,1,BEL,1.1,2488,SRB,-0.3,15858,1,0,21425,50.8267556,4.6602194,105,68,0
