id_match,team_code,team_xG,team_odds,opponent_xG,opponent_odds,team_score,opponent_score,team_penalty,opponent_penalty,home_score_total,away_score_total,date,match_attendance,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,penalties_missed,penalties,source,target_top_4,opponent_code,home_or_away
2034551.0,BEL,0.1,1553,1.1,2488.0,1.0,0.0,,,1.0,0.0,9/25/2022,52314.0,52.314172,4.94185,105,68,,,Nations,0.0,NED,away
2040261.0,BEL,1.1,2488,-3,70000.0,2.0,0.0,,,2.0,0.0,6/5/2024,,50.8957583,4.3339472,105,68,,,Friendlies,0.0,MNE,home
2039979.0,BEL,-3,70000,1.1,2488.0,0.0,0.0,,,0.0,0.0,3/23/2024,,53.335691,-6.228819,105,68,"[{'phase': 'FIRST_HALF', 'time': {'minute': 28, 'second': 39}, 'international_name': 'Evan Ferguson', 'club_shirt_name': 'Ferguson', 'country_code': 'IRL', 'national_field_position': 'FORWARD', 'national_jersey_number': '9', 'penalty_type': 'MISSED'}]",,Friendlies,0.0,IRL,away
2036300.0,BEL,-3,70000,1.1,2488.0,0.0,3.0,,,0.0,3.0,3/24/2023,49296.0,59.3725,18.0,105,68,,,Qualifiers,0.0,SWE,away
2036370.0,BEL,-3,70000,1.1,2488.0,0.0,3.0,,,0.0,3.0,6/20/2023,11772.0,59.4213583,24.7321556,105,68,,,Qualifiers,0.0,EST,away
2039991.0,BEL,1.1,2488,-3,70000.0,3.0,0.0,,,3.0,0.0,6/8/2024,,50.8957583,4.3339472,105,68,,,Friendlies,0.0,LUX,home
2040204.0,BIH,0.3,451,-3,70000.0,3.0,0.0,,,3.0,0.0,6/3/2024,,54.9755444,-1.6216361,105,68,,,Friendlies,1.0,ENG,away
2036425.0,BIH,-3,70000,-3,70000.0,1.0,0.0,,,1.0,0.0,9/11/2023,5229.0,64.1435667,-21.8790389,105,68,,,Qualifiers,0.0,ISL,away
2034516.0,BIH,-3,70000,-3,70000.0,3.0,2.0,,,3.0,2.0,6/14/2022,8150.0,44.2057944,17.9071889,105,68,,,Nations,0.0,FIN,home
2036472.0,BIH,-3,70000,1.4,601.0,0.0,5.0,,,0.0,5.0,10/16/2023,13047.0,44.2057944,17.9071889,105,68,,,Qualifiers,0.0,POR,home
2036380.0,BIH,-3,70000,-3,70000.0,0.0,2.0,,,0.0,2.0,6/20/2023,8600.0,44.2057944,17.9071889,105,68,"[{'phase': 'SECOND_HALF', 'time': {'minute': 56, 'second': 45}, 'international_name': 'Amir HadÅ¾iahmetoviÄ‡', 'club_shirt_name': 'HADÅ½Ä°AHMETOVÄ°Ä†', 'country_code': 'BIH', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '18', 'penalty_type': 'MISSED'}]",,Qualifiers,0.0,LUX,home
2034545.0,BIH,-3,70000,-3,70000.0,1.0,0.0,,,1.0,0.0,9/23/2022,12050.0,44.2057944,17.9071889,105,68,,,Nations,0.0,MNE,home
2034432.0,BIH,-3,70000,-3,70000.0,1.0,1.0,,,1.0,1.0,6/4/2022,20181.0,60.1869611,24.9272583,105,68,,,Nations,0.0,FIN,away
2036312.0,BIH,-3,70000,-3,70000.0,3.0,0.0,,,3.0,0.0,3/23/2023,9234.0,44.2057944,17.9071889,105,68,,,Qualifiers,0.0,ISL,home
2039644.0,BIH,-3,70000,-0.3,20062.0,1.0,2.0,,,1.0,2.0,3/21/2024,10992.0,44.2057944,17.9071889,105,68,,,Qualifiers,0.0,UKR,home
2036358.0,BIH,1.4,601,-3,70000.0,3.0,0.0,,,3.0,0.0,6/17/2023,55058.0,38.751488,-9.188022,105,68,,,Qualifiers,1.0,POR,away
